name,email,phone,company_name,vat_number,address,city,state,postal_code,country,image_url,is_active
Prime Energy,info@primeenergy.ng,2.34821E+12,Prime Energy Ltd,VAT-004020,4 Refinery Road,Warri,Delta,332001,Nigeria,https://example.com/images/prime.png,1
Nova Gas,support@novagas.ng,2.34822E+12,Nova Gas Nigeria,VAT-004021,17 Energy Close,Kaduna,Kaduna,800001,Nigeria,https://example.com/images/nova.png,1
Orbit Telecom,admin@orbittelecom.ng,2.34824E+12,Orbit Telecom Ltd,VAT-004022,28 Digital Avenue,Abuja,FCT,900211,Nigeria,https://example.com/images/orbit.png,1
Vertex Water,contact@vertexwater.ng,2.34825E+12,Vertex Water Ltd,VAT-004023,3 River Basin Road,Yola,Adamawa,640001,Nigeria,https://example.com/images/vertex.png,1
Apex Cable,info@apexcable.ng,2.34826E+12,Apex Cable Network,VAT-004024,14 Media Street,Lagos Island,Lagos,101001,Nigeria,https://example.com/images/apex.png,1
Metro Power,support@metropower.ng,2.34827E+12,Metro Power Plc,VAT-004025,7 Electricity Close,Ikeja,Lagos,100271,Nigeria,https://example.com/images/metro.png,1
Unity Broadband,admin@unitybroadband.ng,2.34827E+12,Unity Broadband Ltd,VAT-004026,15 Tech Park,Yenagoa,Bayelsa,561001,Nigeria,https://example.com/images/unity.png,1
Green Earth Waste,contact@greenearth.ng,2.34828E+12,Green Earth Waste Ltd,VAT-004027,9 Recycling Road,Osogbo,Osun,230001,Nigeria,https://example.com/images/greenearth.png,1
City Transport,info@citytransport.ng,2.34829E+12,City Transport Services,VAT-004028,11 Motor Park Road,Lafia,Nasarawa,962001,Nigeria,https://example.com/images/citytransport.png,1
Sky Internet,support@skyinternet.ng,2.3483E+12,Sky Internet Ltd,VAT-004029,2 Satellite Town,Lagos,Lagos,102263,Nigeria,https://example.com/images/sky.png,1
Blue Gas,admin@bluegas.ng,2.34832E+12,Blue Gas Ltd,VAT-004030,13 Industrial Layout,Aba,Abia,450001,Nigeria,https://example.com/images/bluegas.png,1
Rapid Courier,contact@rapidcourier.ng,2.34833E+12,Rapid Courier Services,VAT-004031,21 Delivery Lane,Ibadan,Oyo,200212,Nigeria,https://example.com/images/rapid.png,1
Smart Energy,info@smartenergy.ng,2.34834E+12,Smart Energy Solutions,VAT-004032,30 Power Line Street,Kano,Kano,700212,Nigeria,https://example.com/images/smart.png,1
Golden Water,support@goldenwater.ng,2.34835E+12,Golden Water Ltd,VAT-004033,6 Borehole Avenue,Ilorin,Kwara,240212,Nigeria,https://example.com/images/golden.png,1
Bright Cable,admin@brightcable.ng,2.34835E+12,Bright Cable TV,VAT-004034,19 Broadcast Road,Umuahia,Abia,440001,Nigeria,https://example.com/images/bright.png,1
Eco Power,contact@ecopower.ng,2.34836E+12,Eco Power Nigeria,VAT-004035,23 Solar Street,Maiduguri,Borno,600001,Nigeria,https://example.com/images/eco.png,1
Swift Telecom,info@swifttelecom.ng,2.34837E+12,Swift Telecom Ltd,VAT-004036,8 Fiber Road,Lagos,Lagos,101212,Nigeria,https://example.com/images/swift.png,1
National Gas,support@nationalgas.ng,2.34838E+12,National Gas Plc,VAT-004037,14 Pipeline Way,Port Harcourt,Rivers,500212,Nigeria,https://example.com/images/nationalgas.png,1
Urban Waste,admin@urbanwaste.ng,2.3484E+12,Urban Waste Ltd,VAT-004038,5 Sanitation Road,Awka,Anambra,420001,Nigeria,https://example.com/images/urban.png,1
Future Energy,contact@futureenergy.ng,2.34841E+12,Future Energy Ltd,VAT-004039,16 Innovation Drive,Abuja,FCT,900321,Nigeria,https://example.com/images/future.png,1
Reliable Water,info@reliablewater.ng,2.34842E+12,Reliable Water Services,VAT-004040,9 Aqua Street,Sokoto,Sokoto,840001,Nigeria,https://example.com/images/reliable.png,1
NextGen Internet,support@nextgeninternet.ng,2.34843E+12,NextGen Internet Ltd,VAT-004041,27 Data Center Road,Lagos,Lagos,105101,Nigeria,https://example.com/images/nextgen.png,1
PowerGrid Nigeria,admin@powergrid.ng,2.34843E+12,PowerGrid Nigeria Plc,VAT-004042,31 Transmission Avenue,Kaduna,Kaduna,800212,Nigeria,https://example.com/images/powergrid.png,1
CleanCity Services,contact@cleancity.ng,2.34844E+12,CleanCity Services Ltd,VAT-004043,4 Civic Center Road,Ado Ekiti,Ekiti,360001,Nigeria,https://example.com/images/cleancity.png,1
Infinity Telecom,info@infinitytelecom.ng,2.34845E+12,Infinity Telecom Ltd,VAT-004044,20 Network Close,Lagos,Lagos,101233,Nigeria,https://example.com/images/infinity.png,1
Evergreen Energy,support@evergreenenergy.ng,2.34846E+12,Evergreen Energy Ltd,VAT-004045,11 Green Estate,Owerri,Imo,460212,Nigeria,https://example.com/images/evergreen.png,1
