name,slug,short_description,image_url,page_title,is_active
Bosch,bosch,Engineering and technology company,https://img.logo.dev/bosch.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Bosch Tools,1
Bose,bose,Audio equipment manufacturer,https://img.logo.dev/bose.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Bose Sound,1
Burberry,burberry,British luxury fashion brand,https://img.logo.dev/burberry.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Burberry Style,1
Calvin Klein,calvin-klein,Lifestyle and fashion brand,https://img.logo.dev/calvinklein.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Calvin Klein Official,1
Canon,canon,Imaging and optical products,https://img.logo.dev/canon.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Canon Cameras,1
Cartier,cartier,French luxury goods conglomerate,https://img.logo.dev/cartier.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Cartier Jewelry,1
Caterpillar,caterpillar,Construction machinery and equipment,https://img.logo.dev/caterpillar.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Cat Equipment,1
Chanel,chanel,Luxury fashion and beauty,https://img.logo.dev/chanel.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Chanel Official,1
Chevrolet,chevrolet,American automobile division,https://img.logo.dev/chevrolet.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Chevy Cars,1
Cisco,cisco,Networking hardware and software,https://img.logo.dev/cisco.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Cisco Networking,1
Coca-Cola,coca-cola,Carbonated soft drink manufacturer,https://img.logo.dev/coca-cola.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Coca-Cola Refreshment,1
Converse,converse,American shoe company,https://img.logo.dev/converse.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Converse All Star,1
Costco,costco,Membership-only big-box retail,https://img.logo.dev/costco.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Costco Wholesale,1
Dell,dell,Computer technology company,https://img.logo.dev/dell.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Dell Computers,1
DHL,dhl,International courier and mail,https://img.logo.dev/dhl.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,DHL Logistics,1
Dior,dior,European luxury fashion house,https://img.logo.dev/dior.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Dior Couture,1
Disney,disney,Entertainment and media conglomerate,https://img.logo.dev/disney.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Disney Magic,1
Dolby,dolby,Audio noise reduction and encoding,https://img.logo.dev/dolby.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Dolby Audio,1
Domino's,dominos,Multinational pizza restaurant chain,https://img.logo.dev/dominos.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Domino's Pizza,1
Dropbox,dropbox,File hosting service,https://img.logo.dev/dropbox.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Dropbox Storage,1
eBay,ebay,Online auction and shopping website,https://img.logo.dev/ebay.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,eBay Marketplace,1
Epson,epson,Electronics and printer manufacturer,https://img.logo.dev/epson.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Epson Printers,1
FedEx,fedex,Multinational delivery services company,https://img.logo.dev/fedex.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,FedEx Delivery,1
Ferrari,ferrari,Italian luxury sports car manufacturer,https://img.logo.dev/ferrari.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Ferrari Sports Cars,1
Fila,fila,Sportswear manufacturer,https://img.logo.dev/fila.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Fila Athletics,1
Ford,ford,American multinational automaker,https://img.logo.dev/ford.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Ford Vehicles,1
Gap,gap,Worldwide clothing and accessories retailer,https://img.logo.dev/gap.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Gap Clothing,1
Garmin,garmin,GPS technology for automotive and aviation,https://img.logo.dev/garmin.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Garmin GPS,1
Gillette,gillette,Personal care brand owned by P&G,https://img.logo.dev/gillette.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Gillette Grooming,1
Google,google,Internet-related services and products,https://img.logo.dev/google.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Google Search,1
GoPro,gopro,Action camera manufacturer,https://img.logo.dev/gopro.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,GoPro Cameras,1
Gucci,gucci,Italian luxury brand of fashion,https://img.logo.dev/gucci.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Gucci Fashion,1
H&M,hm,Multinational clothing retail company,https://img.logo.dev/hm.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,H&M Fashion,1
Honda,honda,Automobiles and motorcycles,https://img.logo.dev/honda.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Honda Motor,1
HP,hp,Information technology company,https://img.logo.dev/hp.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,HP Laptops,1
Hyundai,hyundai,Automotive manufacturer,https://img.logo.dev/hyundai.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Hyundai Auto,1
IBM,ibm,Computer hardware and middleware,https://img.logo.dev/ibm.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,IBM Solutions,1
IKEA,ikea,Ready-to-assemble furniture,https://img.logo.dev/ikea.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,IKEA Home,1
Intel,intel,Semiconductor chip manufacturer,https://img.logo.dev/intel.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Intel Inside,1
Jaguar,jaguar,Luxury vehicle brand,https://img.logo.dev/jaguar.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Jaguar Cars,1
Jeep,jeep,Brand of American automobiles,https://img.logo.dev/jeep.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Jeep 4x4,1
KFC,kfc,American fast food restaurant chain,https://img.logo.dev/kfc.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,KFC Chicken,1
Lamborghini,lamborghini,Italian brand of luxury sports cars,https://img.logo.dev/lamborghini.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Lamborghini Auto,1
Lego,lego,Plastic construction toys,https://img.logo.dev/lego.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Lego Bricks,1
Levi's,levis,American clothing company,https://img.logo.dev/levi.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Levi's Jeans,1
LG,lg,Electronics and home appliances,https://img.logo.dev/lg.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,LG Electronics,1
Logitech,logitech,Computer peripherals and software,https://img.logo.dev/logitech.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Logitech Gear,1
Louis Vuitton,louis-vuitton,Luxury fashion and leather goods,https://img.logo.dev/louisvuitton.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Louis Vuitton Paris,1
Mastercard,mastercard,Financial services corporation,https://img.logo.dev/mastercard.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Mastercard Payment,1
McDonald's,mcdonalds,Fast food company,https://img.logo.dev/mcdonalds.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,McDonald's Burgers,1
Mercedes-Benz,mercedes-benz,Luxury vehicles and vans,https://img.logo.dev/mercedes-benz.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Mercedes-Benz Auto,1
Microsoft,microsoft,Computer software and electronics,https://img.logo.dev/microsoft.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Microsoft Tech,1
Nike,nike,Footwear and apparel,https://img.logo.dev/nike.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Nike Sports,1
Nintendo,nintendo,Video game company,https://img.logo.dev/nintendo.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Nintendo Games,1
Nissan,nissan,Automobile manufacturer,https://img.logo.dev/nissan-global.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Nissan Auto,1
Nokia,nokia,Telecommunications and consumer electronics,https://img.logo.dev/nokia.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Nokia Connecting People,1
Nvidia,nvidia,Graphics processing units,https://img.logo.dev/nvidia.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Nvidia GeForce,1
Oracle,oracle,Database software and technology,https://img.logo.dev/oracle.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Oracle Cloud,1
Panasonic,panasonic,Electronics corporation,https://img.logo.dev/panasonic.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Panasonic Electronics,1
PayPal,paypal,Online payments system,https://img.logo.dev/paypal.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,PayPal Secure,1
Pepsi,pepsi,Carbonated soft drink,https://img.logo.dev/pepsi.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Pepsi Cola,1
Philips,philips,Health technology company,https://img.logo.dev/philips.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Philips Health,1
PlayStation,playstation,Video game brand,https://img.logo.dev/playstation.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,PlayStation Gaming,1
Porsche,porsche,High-performance sports cars,https://img.logo.dev/porsche.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Porsche Auto,1
Prada,prada,Luxury fashion house,https://img.logo.dev/prada.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Prada Milano,1
Puma,puma,Athletic and casual footwear,https://img.logo.dev/puma.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Puma Sports,1
Samsung,samsung,Electronics conglomerate,https://img.logo.dev/samsung.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Samsung Electronics,1
Sony,sony,Conglomerate corporation,https://img.logo.dev/sony.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Sony Entertainment,1
Spotify,spotify,Audio streaming provider,https://img.logo.dev/spotify.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Spotify Music,1
Starbucks,starbucks,Coffeehouse chain,https://img.logo.dev/starbucks.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Starbucks Coffee,1
Tesla,tesla,Electric vehicle and clean energy,https://img.logo.dev/tesla.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Tesla EV,1
Toyota,toyota,Automotive manufacturer,https://img.logo.dev/toyota.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Toyota Cars,1
Uber,uber,Ride-hailing technology,https://img.logo.dev/uber.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Uber Rides,1
Visa,visa,Financial services,https://img.logo.dev/visa.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Visa Payments,1
Volkswagen,volkswagen,Automotive manufacturing,https://img.logo.dev/vw.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Volkswagen Auto,1
Volvo,volvo,Luxury vehicles,https://img.logo.dev/volvocars.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Volvo Safety,1
Walmart,walmart,Multinational retail corporation,https://img.logo.dev/walmart.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Walmart Retail,1
Xbox,xbox,Video gaming brand,https://img.logo.dev/xbox.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Xbox Gaming,1
Yahoo,yahoo,Web services provider,https://img.logo.dev/yahoo.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Yahoo Web,1
Yamaha,yamaha,Musical instruments and electronics,https://img.logo.dev/yamaha.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Yamaha Music,1
YouTube,youtube,Online video sharing,https://img.logo.dev/youtube.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,YouTube Videos,1
Zara,zara,Clothing and accessories retailer,https://img.logo.dev/zara.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Zara Fashion,1
Zoom,zoom,Videotelephony software,https://img.logo.dev/zoom.us?token=pk_b5C_ydQ-R_mLijujC0OvfA,Zoom Meetings,1
